Локация;Цена;Цена за кв\м;аннотация;просмотры
Студия, улица Расула Гамзатова 5 кор. 2/1;5 528 200 руб;211 000 руб/кв.м;64, 71 микрорайоны, застройщик, 26,2 кв. м., 19/24 этаж;492
2-комнатная, улица Расула Гамзатова 5 кор. 1/3;7 553 875 руб;155 750 руб/кв.м;64, 71 микрорайоны, застройщик, 48,5 кв. м., 1/24 этаж;4011
2-комнатная, улица Кизлярская 20;19 002 500 руб;275 000 руб/кв.м;Чуркин, застройщик, 69,1 кв. м., 5/22 этаж;1754
1-комнатная, улица Анны Щетининой 12;7 051 800 руб;217 648 руб/кв.м;Снеговая падь, застройщик, 32,4 кв. м., 22/25 этаж;1301
2-комнатная, улица Анны Щетининой 14;9 114 600 руб;169 732 руб/кв.м;Снеговая падь, застройщик, 53,7 кв. м., 10/24 этаж;1848
2-комнатная, улица Анны Щетининой 20 стр. 1;8 753 600 руб;160 029 руб/кв.м;Снеговая падь, застройщик, 54,7 кв. м., 18/24 этаж;294
1-комнатная, улица Анны Щетининой 20 стр. 1;6 505 600 руб;159 843 руб/кв.м;Снеговая падь, застройщик, 40,7 кв. м., 8/24 этаж;534
1-комнатная, улица Анны Щетининой 20 стр. 2;11 521 440 руб;162 046 руб/кв.м;Снеговая падь, застройщик, 71,1 кв. м., 15/24 этаж;355
1-комнатная, улица Анны Щетининой 20 стр. 1;5 316 200 руб;189 864 руб/кв.м;Снеговая падь, застройщик, 28 кв. м., 13/24 этаж;2051
2-комнатная, улица Анны Щетининой 12;12 121 920 руб;227 002 руб/кв.м;Снеговая падь, застройщик, 53,4 кв. м., 23/24 этаж;719
2-комнатная, улица Анны Щетининой 12;11 048 000 руб;205 736 руб/кв.м;Снеговая падь, застройщик, 53,7 кв. м., 7/24 этаж;849
Студия, улица Тухачевского 80 стр. 3;5 889 999 руб;154 188 руб/кв.м;БАМ, застройщик, 38,2 кв. м., 20/24 этаж Сдача в IV кв. 2026;338
1-комнатная, улица Острогорная 13 кор. 1;7 079 400 руб;191 335 руб/кв.м;Змеинка, застройщик, 37 кв. м., 15/25 этаж;2520
1-комнатная, улица Острогорная 13 кор. 1;7 532 150 руб;198 737 руб/кв.м;Змеинка, застройщик, 37,9 кв. м., 5/25 этаж;2781
1-комнатная, улица Беговая 26;7 300 000 руб;183 417 руб/кв.м;Весенняя, застройщик, 39,8 кв. м., 21/24 этаж;19221
3-комнатная, улица Острогорная 13 кор. 1;14 528 640 руб;190 165 руб/кв.м;Змеинка, застройщик, 76,4 кв. м., 7/25 этаж;2568
2-комнатная, улица Острогорная 13 кор. 1;10 317 440 руб;188 964 руб/кв.м;Змеинка, застройщик, 54,6 кв. м., 11/22 этаж;1726
2-комнатная, улица Октябрьская 25б;16 209 000 руб;300 167 руб/кв.м;Центр, застройщик, 54 кв. м., 3/15 этаж;3532
1-комнатная, улица Нейбута 141 кор. 1;7 000 000 руб;198 864 руб/кв.м;64, 71 микрорайоны, агентство, 35,2 кв. м., 6/25 этаж Сдача в II кв. 2027;268
1-комнатная, улица Нейбута 137 стр. 3;7 231 103 руб;181 686 руб/кв.м;64, 71 микрорайоны, застройщик, 39,8 кв. м. Сдача в IV кв. 2026;981
3-комнатная, улица Карбышева 22б;13 369 999 руб;168 388 руб/кв.м;БАМ, застройщик, 79,4 кв. м., 24/24 этаж;520
1-комнатная, улица Нейбута 137 стр. 3;7 594 001 руб;187 506 руб/кв.м;64, 71 микрорайоны, застройщик, 40,5 кв. м.;1422
2-комнатная, улица Нейбута 137 стр. 3;9 936 873 руб;169 861 руб/кв.м;64, 71 микрорайоны, застройщик, 58,5 кв. м.;3016
1-комнатная, улица Нейбута 137 стр. 3;7 047 574 руб;192 032 руб/кв.м;64, 71 микрорайоны, застройщик, 36,7 кв. м.;8157
1-комнатная, улица Нейбута 137 стр. 3;7 020 731 руб;192 877 руб/кв.м;64, 71 микрорайоны, застройщик, 36,4 кв. м.;3750
2-комнатная, улица Нейбута 137 стр. 3;9 079 163 руб;162 709 руб/кв.м;64, 71 микрорайоны, застройщик, 55,8 кв. м.;6034
2-комнатная, улица Расула Гамзатова 1;11 268 700 руб;186 568 руб/кв.м;64, 71 микрорайоны, застройщик, 60,4 кв. м.;3034
2-комнатная, улица Расула Гамзатова 1;10 832 400 руб;176 423 руб/кв.м;64, 71 микрорайоны, застройщик, 61,4 кв. м.;1671
